model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m67_L1_U128_B256_lr0.1_m0.92_d0.98_s4_T2,2,1,"128",256,0.1,0.92,0.98,4,60,18.8,96.20,94.71,runs/grid_20250929-061848/models/m67_L1_U128_B256_lr0.1_m0.92_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m67_L1_U128_B256_lr0.1_m0.92_d0.98_s4_T2.train.log
m68_L1_U128_B256_lr0.1_m0.92_d0.985_s4_T2,2,1,"128",256,0.1,0.92,0.985,4,60,18.7,96.10,94.73,runs/grid_20250929-061848/models/m68_L1_U128_B256_lr0.1_m0.92_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m68_L1_U128_B256_lr0.1_m0.92_d0.985_s4_T2.train.log
m69_L1_U128_B256_lr0.1_m0.92_d0.99_s4_T2,2,1,"128",256,0.1,0.92,0.99,4,60,19.1,96.10,94.75,runs/grid_20250929-061848/models/m69_L1_U128_B256_lr0.1_m0.92_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m69_L1_U128_B256_lr0.1_m0.92_d0.99_s4_T2.train.log
m70_L1_U128_B256_lr0.1_m0.93_d0.98_s4_T2,2,1,"128",256,0.1,0.93,0.98,4,60,19.9,96.10,94.90,runs/grid_20250929-061848/models/m70_L1_U128_B256_lr0.1_m0.93_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m70_L1_U128_B256_lr0.1_m0.93_d0.98_s4_T2.train.log
m71_L1_U128_B256_lr0.1_m0.93_d0.985_s4_T2,2,1,"128",256,0.1,0.93,0.985,4,60,19.4,96.00,94.86,runs/grid_20250929-061848/models/m71_L1_U128_B256_lr0.1_m0.93_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m71_L1_U128_B256_lr0.1_m0.93_d0.985_s4_T2.train.log
m72_L1_U128_B256_lr0.1_m0.93_d0.99_s4_T2,2,1,"128",256,0.1,0.93,0.99,4,60,19.8,95.90,94.88,runs/grid_20250929-061848/models/m72_L1_U128_B256_lr0.1_m0.93_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m72_L1_U128_B256_lr0.1_m0.93_d0.99_s4_T2.train.log
m73_L1_U128_B256_lr0.1_m0.94_d0.98_s4_T2,2,1,"128",256,0.1,0.94,0.98,4,60,18.9,96.20,95.01,runs/grid_20250929-061848/models/m73_L1_U128_B256_lr0.1_m0.94_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m73_L1_U128_B256_lr0.1_m0.94_d0.98_s4_T2.train.log
m74_L1_U128_B256_lr0.1_m0.94_d0.985_s4_T2,2,1,"128",256,0.1,0.94,0.985,4,60,18.7,96.10,94.98,runs/grid_20250929-061848/models/m74_L1_U128_B256_lr0.1_m0.94_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m74_L1_U128_B256_lr0.1_m0.94_d0.985_s4_T2.train.log
m75_L1_U128_B256_lr0.1_m0.94_d0.99_s4_T2,2,1,"128",256,0.1,0.94,0.99,4,60,18.7,96.30,94.99,runs/grid_20250929-061848/models/m75_L1_U128_B256_lr0.1_m0.94_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m75_L1_U128_B256_lr0.1_m0.94_d0.99_s4_T2.train.log
m76_L1_U128_B512_lr0.1_m0.9_d0.98_s4_T2,2,1,"128",512,0.1,0.9,0.98,4,60,36.0,95.80,94.49,runs/grid_20250929-061848/models/m76_L1_U128_B512_lr0.1_m0.9_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m76_L1_U128_B512_lr0.1_m0.9_d0.98_s4_T2.train.log
m77_L1_U128_B512_lr0.1_m0.9_d0.985_s4_T2,2,1,"128",512,0.1,0.9,0.985,4,60,35.7,95.80,94.52,runs/grid_20250929-061848/models/m77_L1_U128_B512_lr0.1_m0.9_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m77_L1_U128_B512_lr0.1_m0.9_d0.985_s4_T2.train.log
