model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m58_L1_U64_B128_lr0.1_m0.96_d0.9_s4_T8,8,1,"64",128,0.1,0.96,0.9,4,60,5.2,96.20,94.98,runs/grid_20250929-142217/models/m58_L1_U64_B128_lr0.1_m0.96_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m58_L1_U64_B128_lr0.1_m0.96_d0.9_s4_T8.train.log
m59_L1_U64_B128_lr0.1_m0.96_d0.95_s4_T8,8,1,"64",128,0.1,0.96,0.95,4,60,5.4,96.50,95.00,runs/grid_20250929-142217/models/m59_L1_U64_B128_lr0.1_m0.96_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m59_L1_U64_B128_lr0.1_m0.96_d0.95_s4_T8.train.log
m60_L1_U64_B128_lr0.1_m0.96_d0.99_s4_T8,8,1,"64",128,0.1,0.96,0.99,4,60,5.6,96.20,94.96,runs/grid_20250929-142217/models/m60_L1_U64_B128_lr0.1_m0.96_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m60_L1_U64_B128_lr0.1_m0.96_d0.99_s4_T8.train.log
m61_L1_U64_B128_lr0.125_m0.0_d0.9_s4_T8,8,1,"64",128,0.125,0.0,0.9,4,60,5.4,94.70,92.72,runs/grid_20250929-142217/models/m61_L1_U64_B128_lr0.125_m0.0_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m61_L1_U64_B128_lr0.125_m0.0_d0.9_s4_T8.train.log
m62_L1_U64_B128_lr0.125_m0.0_d0.95_s4_T8,8,1,"64",128,0.125,0.0,0.95,4,60,4.8,94.70,92.29,runs/grid_20250929-142217/models/m62_L1_U64_B128_lr0.125_m0.0_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m62_L1_U64_B128_lr0.125_m0.0_d0.95_s4_T8.train.log
m63_L1_U64_B128_lr0.125_m0.0_d0.99_s4_T8,8,1,"64",128,0.125,0.0,0.99,4,60,4.6,94.80,92.36,runs/grid_20250929-142217/models/m63_L1_U64_B128_lr0.125_m0.0_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m63_L1_U64_B128_lr0.125_m0.0_d0.99_s4_T8.train.log
m64_L1_U64_B128_lr0.125_m0.9_d0.9_s4_T8,8,1,"64",128,0.125,0.9,0.9,4,60,3.2,95.90,94.29,runs/grid_20250929-142217/models/m64_L1_U64_B128_lr0.125_m0.9_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m64_L1_U64_B128_lr0.125_m0.9_d0.9_s4_T8.train.log
m65_L1_U64_B128_lr0.125_m0.9_d0.95_s4_T8,8,1,"64",128,0.125,0.9,0.95,4,60,3.5,95.80,94.42,runs/grid_20250929-142217/models/m65_L1_U64_B128_lr0.125_m0.9_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m65_L1_U64_B128_lr0.125_m0.9_d0.95_s4_T8.train.log
m66_L1_U64_B128_lr0.125_m0.9_d0.99_s4_T8,8,1,"64",128,0.125,0.9,0.99,4,60,5.2,96.00,95.23,runs/grid_20250929-142217/models/m66_L1_U64_B128_lr0.125_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m66_L1_U64_B128_lr0.125_m0.9_d0.99_s4_T8.train.log
m67_L1_U64_B128_lr0.125_m0.92_d0.9_s4_T8,8,1,"64",128,0.125,0.92,0.9,4,60,4.6,96.10,95.08,runs/grid_20250929-142217/models/m67_L1_U64_B128_lr0.125_m0.92_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m67_L1_U64_B128_lr0.125_m0.92_d0.9_s4_T8.train.log
m68_L1_U64_B128_lr0.125_m0.92_d0.95_s4_T8,8,1,"64",128,0.125,0.92,0.95,4,60,4.4,95.90,95.11,runs/grid_20250929-142217/models/m68_L1_U64_B128_lr0.125_m0.92_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m68_L1_U64_B128_lr0.125_m0.92_d0.95_s4_T8.train.log
m69_L1_U64_B128_lr0.125_m0.92_d0.99_s4_T8,8,1,"64",128,0.125,0.92,0.99,4,60,3.2,96.00,94.42,runs/grid_20250929-142217/models/m69_L1_U64_B128_lr0.125_m0.92_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m69_L1_U64_B128_lr0.125_m0.92_d0.99_s4_T8.train.log
m70_L1_U64_B128_lr0.125_m0.94_d0.9_s4_T8,8,1,"64",128,0.125,0.94,0.9,4,60,3.9,96.20,94.42,runs/grid_20250929-142217/models/m70_L1_U64_B128_lr0.125_m0.94_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m70_L1_U64_B128_lr0.125_m0.94_d0.9_s4_T8.train.log
m71_L1_U64_B128_lr0.125_m0.94_d0.95_s4_T8,8,1,"64",128,0.125,0.94,0.95,4,60,5.0,96.40,95.00,runs/grid_20250929-142217/models/m71_L1_U64_B128_lr0.125_m0.94_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m71_L1_U64_B128_lr0.125_m0.94_d0.95_s4_T8.train.log
m72_L1_U64_B128_lr0.125_m0.94_d0.99_s4_T8,8,1,"64",128,0.125,0.94,0.99,4,60,4.8,96.20,94.83,runs/grid_20250929-142217/models/m72_L1_U64_B128_lr0.125_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m72_L1_U64_B128_lr0.125_m0.94_d0.99_s4_T8.train.log
m73_L1_U64_B128_lr0.125_m0.96_d0.9_s4_T8,8,1,"64",128,0.125,0.96,0.9,4,60,3.5,95.60,93.83,runs/grid_20250929-142217/models/m73_L1_U64_B128_lr0.125_m0.96_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m73_L1_U64_B128_lr0.125_m0.96_d0.9_s4_T8.train.log
m74_L1_U64_B128_lr0.125_m0.96_d0.95_s4_T8,8,1,"64",128,0.125,0.96,0.95,4,60,5.3,95.70,94.52,runs/grid_20250929-142217/models/m74_L1_U64_B128_lr0.125_m0.96_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m74_L1_U64_B128_lr0.125_m0.96_d0.95_s4_T8.train.log
m75_L1_U64_B128_lr0.125_m0.96_d0.99_s4_T8,8,1,"64",128,0.125,0.96,0.99,4,60,5.7,96.00,94.98,runs/grid_20250929-142217/models/m75_L1_U64_B128_lr0.125_m0.96_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m75_L1_U64_B128_lr0.125_m0.96_d0.99_s4_T8.train.log
m76_L1_U128_B128_lr0.025_m0.0_d0.9_s4_T8,8,1,"128",128,0.025,0.0,0.9,4,60,28.7,94.00,91.89,runs/grid_20250929-142217/models/m76_L1_U128_B128_lr0.025_m0.0_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m76_L1_U128_B128_lr0.025_m0.0_d0.9_s4_T8.train.log
m77_L1_U128_B128_lr0.025_m0.0_d0.95_s4_T8,8,1,"128",128,0.025,0.0,0.95,4,60,22.5,94.10,91.88,runs/grid_20250929-142217/models/m77_L1_U128_B128_lr0.025_m0.0_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m77_L1_U128_B128_lr0.025_m0.0_d0.95_s4_T8.train.log
